word,category
hamburger,food
bun,food
pile,other
shredded,food
cheddar,food
overcooked,food
tortilla,food
salt,food
juicy,food
dipping,food
presentation,food
applaud,service
forgettable,ambiance
sipping,drinks
stick,food
fast,service
conveyor,other
weekly,other
lol,other
sushi,other
quick,other
selling,service
gonna,other
portions,food
depending,service
items,food
hours,service
inattentive,service
answered,service
sits,ambiance
counters,service
pricing,food
hold,service
japanese,drinks
beers,drinks
fried,food
quesadillas,food
snacks,food
beverages,drinks
asahi,drinks
staples,food
asian,food
kimchi,food
loaded,food
hotel,service
pack,ambiance
line,service
ethnic,food
chairs,ambiance
seats,service
screen,ambiance
imax,service
i.e,other
slope,other
auditorium,other
theaters,other
heads,other
waffles,food
tea,drinks
deliciously,food
soft,ambiance
kool,drinks
eats,food
pub,drinks
eatery,food
chandler,service
visual,ambiance
lighting,ambiance
loud,ambiance
stare,service
deck,ambiance
couches,ambiance
fireplace,ambiance
hangout,service
initmate,ambiance
drinker,drinks
single,drinks
malt,drinks
scotches,drinks
glenfiddich,drinks
glenlivit,drinks
glenmorangie,drinks
ardbeg,drinks
martini,drinks
olives,food
bruschetta,food
bisque,food
select,food
platter,food
bean,food
pancetta,food
gravlax,food
caper,food
goat,food
pickled,food
fig,food
ricotta,food
prosciutto,food
brie,food
nicely,ambiance
creamy,food
smoky,ambiance
appetizers,food
fixin's,food
torte,food
hazelnut,food
gelato,food
desserts,food
puff,food
apples,food
wyder's,drinks
strongbow,drinks
boddington's,drinks
bevmo,service
brought,service
fountain,ambiance
takes,service
energy,ambiance
maizie's,food
pasta,food
carbonara,food
calamari,food
tomatoes,food
dining,food
recommendations,service
coworkers,service
11am,service
weekdays,service
amy's,food
cashiers,service
employee,service
margaritaville,ambiance
margaritas,drinks
cheeseburgers,food
yardhouse,service
senorita,food
stage,ambiance
booths,ambiance
shaker,drinks
pour,drinks
relaxing,ambiance
stool,ambiance
reservation,service
waited,service
refilled,service
refill,service
recognize,service
head,ambiance
trout,food
bones,food
embraces,service
grande,ambiance
gravy,food
invitations,service
pho,food
noodle,food
tai,food
combination,food
slow,service
fix,service
laid,ambiance
cucina,food
appetizer,food
ahi,food
tuna,food
buffalo,food
champagne,drinks
brioche,food
offers,service
waits,service
excessive,ambiance
assortment,food
fare,food
offerings,food
whites,drinks
starch,food
cottage,food
omelet,food
huevos,food
ranchero,food
buckwheat,food
pancake,food
fillings,food
bananas,food
misters,service
outdoor,ambiance
miss,service
southwestern,food
enchiladas,food
foods,food
invited,service
marys,food
pea,food
berries,food
cornflakes,food
dick's,service
rokerij,ambiance
pao,food
chinese,food
vegan,food
pescatarian,food
artichoke,food
gratine,food
corn,food
dip,food
solo,service
spicier,food
cucumber,food
flavored,food
chili,food
crab,food
puffs,food
filling,food
friend's,service
burrito,food
serves,service
bowls,food
pizzas,food
checking,service
veggie,food
blackened,food
salmon,food
reuben,food
reubens,food
brewery,drinks
classy,ambiance
body,food
classes,service
gym,service
goregous,ambiance
calming,ambiance
remodeled,ambiance
cheesy,food
imagery,ambiance
creepy,other
floors,ambiance
ceilings,ambiance
staircase,ambiance
decorations,ambiance
modifications,service
namaste,ambiance
guest,service
happening,ambiance
rooftop,ambiance
gallo,drinks
blanco,drinks
greeted,service
rudely,service
pretentious,ambiance
hostess,service
whisked,service
minute,ambiance
squeeze,service
tartes,food
cordon,food
creamiest,food
tenderloin,food
peppery,food
tarts,food
fancier,ambiance
menus,food
kinkos,service
bone,food
fillet,food
dazzled,ambiance
explaining,service
appetite,food
guests,service
lobster,food
mash,food
maestros,service
servers,service
paired,food
clubhouse,ambiance
melt,food
cajun,food
dill,food
stilton,food
appetit,food
shade,ambiance
chefs,service
devoured,food
security,service
milk,food
hipsterness,ambiance
baristas,service
warmed,food
foamed,drinks
fruity,drinks
espresso,drinks
dive,ambiance
rink,drinks
dunkel,drinks
hefeweisen,drinks
corona,drinks
covers,service
joe,drinks
express,service
dozen,food
fulfilled,service
donuts,food
empanadas,food
pressed,service
spiced,food
subs,food
mandala,ambiance
masala,food
scrambles,food
chipper,ambiance
manicures,service
pedicures,service
grill,food
training,service
feasting,food
wall,ambiance
ceiling,ambiance
autographed,other
athletes,other
sports,other
celebrities,other
artifacts,other
pairs,food
coors,drinks
shiner,drinks
bock,drinks
ipa,drinks
rye,food
bagel,food
coconut,food
potato's,food
gratin,food
cole,food
entrée,food
starbucks,service
brew,drinks
bitter,drinks
blueberry,food
muffin,food
indoors,ambiance
caffeinated,drinks
cakes,food
tlc's,service
sculpted,ambiance
courses,food
brulee,food
byob,drinks
aspect,ambiance
corking,service
fees,service
personally,service
handed,service
pickup,service
flat,food
screamed,service
dimly,ambiance
lit,ambiance
fuego,food
bistro,ambiance
twinkly,ambiance
lights,ambiance
courtyard,ambiance
musician,service
southern,food
bianco,food
9.9999,drinks
10,ambiance
mayos,food
spinach,food
baguette,food
wheat,food
ham,food
bayou,ambiance
marinated,food
crumbles,food
provolone,food
feta,food
yogurt,food
marinara,food
parmesan,food
bentos,food
ginger,food
katsu,food
seller,service
easley's,drinks
pulling,service
assisted,service
liberace,ambiance
parties,service
balsamic,food
jelly's,service
duck,food
40,drinks
rich,food
plain,food
complaints,service
hyatt,other
rude,service
returned,service
drafts,drinks
immediately.our,other
alligator,other
it.i,other
mignon,other
tail.the,other
pappadeux,service
tail.it,food
here.refills,food
bill.i,service
jazz,other
quartet,other
room.the,other
hear,other
huband,other
corned,food
asparagus,food
accompanied,service
leftovers,food
cocktail,drinks
postino's,service
aiello's,service
scallops,food
candle,ambiance
guacamole,food
fork,food
pineapple,food
recommending,service
restaurant.com,service
sheraton,service
gambas,food
chorizo,food
newport,ambiance
knowledgeable,service
jalapeño,food
marg,drinks
sol,drinks
cocina,food
smokehouse,food
entrance,ambiance
lunches,food
purveyor,service
portobello,food
suggestion,service
aj's,food
servings,food
catering,service
stopping,service
tidying,service
flowers,food
purchase,service
entered,service
choked,ambiance
cow,food
tongue,food
mandalay,ambiance
burmese,food
betito's,service
carne,food
asada,food
torta,food
menudo,food
filiberto's,food
concession,service
feedback,service
carpets,ambiance
exterior,ambiance
cleaned,service
carpet,ambiance
vacuum,other
poor,service
ny,ambiance
sticks,food
pepperoni,food
crumbled,food
taking,service
maui,food
kahlua,drinks
rumbi,service
hawaii,ambiance
teriyaki,food
coleslaw,food
grocery,food
professionals,service
sandwhich,food
ciabatta,food
scone,food
indian,food
citizen's,service
simmered,food
char,food
mesquite,food
relax,ambiance
breeze,ambiance
held,service
inconsideration,service
providers,service
busier,service
manicure,service
scolded,service
disrespected,service
pale,service
partly,ambiance
mexcian,food
patios,ambiance
pitchers,drinks
sangria,drinks
serrano,food
manchego,food
quince,food
paste,food
pollo,food
colonial,ambiance
mint,food
tomate,food
lentils,food
drumettes,food
communal,ambiance
vino,drinks
argyle,ambiance
bubbly,drinks
absinthe,drinks
chard,food
tastes,food
fermented,food
grape,food
eyelas,service
quicker,service
mesa,ambiance
tops,food
atlantic,food
haddock,food
breaded,food
boiled,food
romaine,food
tartar,food
roll,food
background,ambiance
salivates,food
staying,service
warmly,ambiance
gluten,food
malee's,service
repeating,ambiance
bros,service
establishment,ambiance
carolina's,food
appearance,ambiance
lacks,service
icing,food
gardens,ambiance
weddings,service
receptions,service
managed,service
filibertos,food
cozy,ambiance
kart,service
peacefully,ambiance
grinds,food
wifi,service
kinds,food
indians,food
frills,ambiance
burritos,food
hearty,food
sonoran,food
tex,food
mex,food
enchilada,food
bottled,drinks
lively,ambiance
casey,service
moore's,food
fed,food
oysters,food
casey's,service
oyster,food
cave,ambiance
20mbs,service
faxes,service
responding,service
efax,service
fettucine,food
alfredo,food
meatballs,food
chilis,food
treated,service
burrito's,food
sums,food
iced,drinks
gils,service
st,food
lard,food
carnita's,food
refried,food
hock,food
chilie,food
waterfall,ambiance
tj's,drinks
sweetened,food
sip,drinks
melts,food
amber,drinks
lager,drinks
xanax,other
pharmacy,service
tazer,other
pours,service
patchouli,ambiance
gin,drinks
ingredient,food
barmaid,service
tend,service
sizzler,food
dressings,food
minestrone,food
men's,service
view,ambiance
olive,food
penne,food
primavera,food
squash,food
agent,service
tuscan,ambiance
prefect,service
edible,food
baileys,drinks
cosmo,drinks
fontina,food
winter,ambiance
slice,food
chimichangas,food
pickles,food
attentiveness,service
az,ambiance
urban,ambiance
deconstructed,food
taxicab,service
suspended,ambiance
cabbies,service
pushing,service
whipped,food
breyers,food
spoiled,food
steamed,food
stir,service
canned,food
mickey,drinks
d's,service
fajitas,food
chilies,food
rustic,ambiance
friendliest,service
brightly,ambiance
beanbag,ambiance
toss,service
dedicated,service
bevy,drinks
posters,ambiance
concrete,ambiance
statues,ambiance
verde,food
zinburger,food
stuffed,food
brick,ambiance
lo's,service
mama's,food
services,service
clientele,ambiance
cordial,drinks
checkout,service
berry,food
dumpy,ambiance
expensive,food
visits,service
mi,ambiance
amore,food
salami,food
arugula,food
loaves,food
focaccia,food
liters,drinks
nite,service
mgr,service
oreo,food
riccotta,food
crabs,food
greek,food
pita,food
tzatziki,food
benedict,food
shepherd's,food
harps,drinks
boozing,drinks
oregano's,food
popping,ambiance
crackers,food
pizzeria,food
grimaldi's,food
mia's,food
francesca,food
thai,food
cashew,food
manner,service
bust,service
peanut,food
venue,ambiance
tempura'd,food
squid,food
ao,food
yasai,food
zucchini,food
mushroom,food
attended,service
cookers,food
speakeasy,ambiance
breads,food
bouncer,service
uniforms,service
fondue,food
visited,service
sodas,drinks
pulled,food
hb's,service
preserves,food
fennel,food
produce,food
boneless,food
loin,food
blade,food
grocer,food
recipe,food
merc,service
israeli,food
cous,food
fry,food
halibut,food
ensenada,drinks
michelada,drinks
pacifico,drinks
chief,service
yummmmmy,food
glendale's,ambiance
fry's,food
kielbasa,food
sauerkraut,food
gladly,service
ceviche,food
queso,food
adobo,food
cadillac,drinks
tablemates,service
lemonade,food
acidic,ambiance
1.0,drinks
treehouse,ambiance
tones,ambiance
moods,ambiance
sampling,food
debit,service
mojitos,drinks
bartender's,drinks
valet,service
prompt,service
register,service
monte,food
cristo,food
managers,service
tempura,food
talked,service
companions,ambiance
lai's,food
mongolian,food
woo,drinks
bf,food
scones,food
homey,ambiance
bathwater,drinks
clams,food
oreganato,food
eggplant,food
parm,food
riverview,ambiance
dairy,food
gelatos,food
firemen,service
avocado,food
wonton,food
bamboo,food
shoots,food
broccoli,food
ect,food
wontons,food
24,food
spinatos,food
bianca,food
brat,food
haus,ambiance
brats,food
pretzels,food
funky,ambiance
10am,service
omellete,food
omelletes,food
complaining,service
reese's,food
id,food
hashbrowns,food
bannana,food
pecan,food
dinning,food
smartly,ambiance
delivering,service
pupusas,food
salvadoreno,food
pupusa,food
revuelta,food
bienvenidos,service
tierra,food
intriguing,ambiance
grey,ambiance
detroit,service
gas,drinks
hummus,food
plantains,food
server's,service
skills,service
flecks,food
prepped,food
vermouth,drinks
wallpaper,ambiance
juices,drinks
squeezed,drinks
stops,service
station,ambiance
swill,drinks
dreamy,ambiance
cappuccino,drinks
slapped,service
clam,food
shells,food
appetizing,food
mechanic,service
pitcher,drinks
wines,drinks
crabmeat,food
fi,service
alfalfa,food
sprouts,food
marble,ambiance
stewart's,drinks
butteryness,food
bobby,service
bobbyq's,food
fella,service
mcgaees,food
upscale,ambiance
brisket,food
standout,ambiance
chili's,service
cob,food
cornbread,food
dunlap,service
mitch's,service
furniture,ambiance
clubbers,service
clubbing,service
vaca,food
resort,service
cheers,drinks
papaya,food
directed,service
jasmine,ambiance
applebees,service
observed,service
loop,ambiance
replied,service
gusto,food
dates,food
farmstand,service
shakes,drinks
stunning,ambiance
decorated,ambiance
bartenders,service
accomodating,service
coke,drinks
sichuan,food
bao,food
ji,food
cantonese,food
zichini,food
peanuts,food
scallion,food
behavior,service
tempting,food
sashimi,food
cabbage,food
tossed,service
yellowtail,food
lobby's,ambiance
taco's,food
favors,service
gummy,food
inconsistent,service
hits,drinks
pies,food
dispointing,service
flaky,food
brewed,drinks
consume,food
support,service
flask,drinks
bottoms,food
tomatillo,food
fresca,drinks
mango,food
aqua,drinks
soups,food
smoothie,food
frittata,food
concoction,drinks
sprinkled,food
expects,service
infusions,drinks
chalkboard,ambiance
deliver,service
fingers,food
cabage,food
carrots,food
crepe,food
clostrophobic,ambiance
outs,service
performances,service
pistachio,food
overindulge,food
refills,service
rushed,service
dealing,service
kierland,ambiance
furnishings,ambiance
consumption,food
galsses,drinks
grabbing,service
joints,food
boozin,drinks
cafeteria,food
stands,service
galleria,ambiance
baba,food
cook,food
nook,ambiance
establishments,service
décor,ambiance
havarti,food
hawaiian,food
dave's,food
examined,service
bottles,drinks
molasses,food
dips,food
qdoba,food
kokopellis,ambiance
nachos,food
salsas,food
china,food
wok,food
stix,food
hamburgers,food
celery,food
upholstered,ambiance
mastro's,service
steakhouse,food
steakhouses,food
gorgonzola,food
sauteed,service
pedicure,service
unprofessional,service
setting,ambiance
billed,service
chipped,service
carts,service
pedicurist's,service
brews,drinks
combinations,food
marketplace,food
edamame,food
gryo,food
felafel,food
scallions,food
jade,ambiance
palace,ambiance
bueno,food
locale,ambiance
cones,food
vanilla,food
swirl,food
petsmart,service
sandbar,ambiance
cart,service
wiener,food
comedy,ambiance
cantina,ambiance
laredo,service
gratuity,service
competently,service
hailed,service
margarita,drinks
waterwise,service
canyon,ambiance
curtains,ambiance
feed,food
hopping,ambiance
joing,service
tamales,food
margherita,drinks
carpacchio,food
cabernet,drinks
v's,food
sweater,food
banana's,food
divine,food
zupas,service
gumbo,food
employee's,service
feelin,ambiance
veg,food
winding,ambiance
g's,drinks
sophie's,food
arthichoke,food
sammie,food
claustrophobic,ambiance
closing,service
camelback,ambiance
rose,drinks
shower,service
eucalyptus,ambiance
showers,service
treatment,service
reschedule,service
kegs,drinks
quiche,food
whitefish,food
macadamia,food
walnutty,food
teacup,service
vinegary,food
sesame,food
waitstaff,service
kobe,food
toluca,food
brizza,drinks
vast,ambiance
maz,food
1.50,drinks
raising,service
selections,food
modern,ambiance
steak's,food
overstuffed,food
brusque,service
maple,drinks
orzo,food
rita's,service
sublime,ambiance
includes,drinks
omelets,food
glimpse,ambiance
stations,service
sundaes,food
fashioned,drinks
fountains,ambiance
20min,service
45min,service
10min,service
pat,food
chow,food
yc's,service
cod,food
plumber,service
smiles,service
4458,food
palmer's,food
pastrami,food
caprese,food
peach,food
relishes,food
relish,food
therapy,service
professionalism,service
cheeses,food
pico,food
cloggin,food
chez,ambiance
pew,ambiance
posh,ambiance
bruscetta,food
orded,service
hannys,drinks
manhattan,drinks
dough,food
salvadoran,food
flavourful,food
tamale,food
repast,food
starchy,food
crème,drinks
fraîche,food
jackrabbit,food
supper,food
martinis,drinks
verdes,food
waitresses,service
snack,food
quiktrip,service
america,food
massaman,food
panang,food
chowmein,food
plantation,ambiance
sweetener,food
cucumbers,food
tlt,service
tempeh,food
meaty,food
refilling,service
nurses,service
flemings,food
introducing,service
reds,drinks
resturant,service
chops,food
generious,service
poached,food
dumping,food
yogurtland,service
fedex,service
www.yelp.com,other
biz_photos,other
co4cqnwyayv7hw8jkcekjg,other
vcouxvxq0sl310xrxn9hog,other
8xzd9ms7yvnaeavn1irgsq,other
frying,food
diners,food
udon,food
mai,food
float,drinks
broth,food
covering,other
bagels,food
thins,food
20oz,drinks
wendy's,service
mani,service
pedi,service
smoothies,food
risotto,food
sautéed,food
pudding,food
plugged,service
stereo,ambiance
latte,drinks
bus,service
strawberries,food
mirror,ambiance
beet,food
fungi,food
jacqui,service
doggies,food
chiles,food
herbs,food
pistachios,food
den,ambiance
mcdonalds,food
indoor,ambiance
firestone,service
gimlet,drinks
breasts,food
slicing,food
stinks,ambiance
rancheros,food
quirkily,ambiance
subway,food
sandwhiches,food
escolar,food
mousse,food
enclosed,ambiance
tumbler,drinks
harkins,service
genghis,food
eateries,food
busboy,service
apologizing,service
proactive,service
clearing,service
relaxed,ambiance
handled,service
yelper,service
vibes,ambiance
caesar,food
cripsy,food
totonno's,food
yragui's,service
healer,service
connolys,service
levels,ambiance
jerky,food
creamed,food
smiled,service
hotter,food
surface,ambiance
candies,food
aand,food
chocolates,food
see's,food
humbolt,food
portabella,food
barbecue,food
powder,food
syrups,drinks
staff's,service
customer's,service
satay,food
spiciest,food
tummy,food
condiment,food
seaweed,food
sizzling,food
dumpling,food
rachael,food
bibimbap,food
promptly,service
professionally,service
courteously,service
halves,food
restaurateur,service
boba,drinks
decentfood,food
approached,service
helpfull,service
bombay,food
localdines.com,service
foursquare,service
respond,service
pinot,drinks
noir,drinks
humus,food
sorbet,food
chickpea,food
roti,food
egglplant,food
noshes,food
gyoza,food
ponzu,drinks
okonomiyaki,food
tako,food
yaki,food
ramen,food
shitake,food
obliged,service
emailed,service
romanelli's,food
capicolla,food
mortadella,food
cannoli,food
seasonal,food
mussaman,food
curried,food
sabai,ambiance
charges,service
kitsch,ambiance
strictly,service
wong's,service
ruby,food
hangs,ambiance
5s,drinks
"2,3",other
4s,other
bills,other
sucked,other
printed,other
passable,service
triple,drinks
drowned,food
cauliflower,food
tuck,service
bosnian,food
raisin,food
vege,food
wanton,food
cattle,food
yelpy,food
oatmeal,food
aroma's,drinks
agave,food
cola,drinks
punches,drinks
starter,food
quesadilla,food
lavosh,food
falafel,food
gyros,food
luncheon,service
crumbs,food
flour,food
dextrose,food
soy,food
protein,food
monosodium,food
takeaway,service
meatloaf,food
soba,food
circus,ambiance
roscoes,food
3chicken,food
lolos,food
kelly's,food
brownies,food
cinemas,service
q's,service
louis,drinks
refillable,service
decoration,ambiance
doughnuts,food
driven,service
barber,service
osso,food
bucco,food
paella,food
philly,food
cheesesteak,food
cheesteak,food
sliver,food
bolywood,ambiance
eater,food
chicekn,food
tika,food
palak,food
paneer,food
spoon,food
shake,drinks
watering,service
salazar's,food
caesars,drinks
bothers,service
adobada,food
pepsi,drinks
dew,drinks
streaming,service
huluplus,service
comfortably,ambiance
marriott,service
hosted,service
cabana,ambiance
smalls,food
chickens,food
ale,drinks
champ,food
biryani,food
boti,food
tikka,food
naan,food
panels,ambiance
greet,service
tamarind,food
appreciative,service
tuned,ambiance
swiss,food
matterhorn,ambiance
juice,food
strips,food
joya,food
travelzoo,service
montelucia,ambiance
tour,service
provider,service
massages,service
strokes,ambiance
attendants,service
vacant,ambiance
oiled,food
booking,service
otb,service
raspberry,food
pizza's,food
portabello,food
resling,drinks
samples,food
ciao's,food
mann,other
pepita,food
flatbread,food
morels,food
shallots,food
nuteila,drinks
mascarpone,food
nutella,food
loungy,ambiance
dominated,service
tvs,ambiance
upside,ambiance
libraries,service
orbit,ambiance
visi,drinks
polenta,food
vampiro,drinks
guac,food
cellarmaster,service
suggestions,service
domino's,food
papa,food
caesar's,food
dampness,ambiance
grapes,food
bellies,food
luana,ambiance
lucia,ambiance
lousy,service
feast,food
waxing,service
fitness,service
hoegaarden,drinks
fru,food
alcoholic,drinks
hustle,service
reception,service
nametags,service
coordinators,service
fairmont,service
responses,service
huauchinango,food
habanero,food
carded,service
sours,drinks
jalapeno,food
bungalow,ambiance
kimpton,service
pools,ambiance
bake,food
cabeza,food
cheek,food
moscow,drinks
pimms,drinks
pretzel,food
fer,food
sourdough,food
stucco,ambiance
ticket,service
usd,other
magna,other
cum,other
laude,other
universities,other
teaching,service
assistants,service
tutoring,service
stairs,ambiance
lecture,service
halls,ambiance
admission,service
environmental,ambiance
fattening,food
spoon's,service
pumpkin,food
nog,drinks
sprinkles,food
caring,service
finger,food
scan,service
tequila,drinks
flavoring,food
minimalist,ambiance
merlot,drinks
frisee,food
yolk,food
seasonings,food
brussels,food
souflles,food
filets,food
accommodating,service
dunkin,food
donut,food
bosa,service
appointed,ambiance
fireplaces,ambiance
marbled,ambiance
island,ambiance
caves,ambiance
lounges,drinks
poolside,ambiance
commons,service
brickoven,food
ted's,service
scootsdale,ambiance
dottsy,service
suizas,food
hongas,food
flan,food
summery,ambiance
sicilian,food
zoe's,food
unimpressive,ambiance
operated,service
cypress,drinks
implore,service
vicinity,ambiance
tastiness,food
beds,service
hotels,service
cheesecakes,food
yupha's,service
impeccably,service
bucket,food
stylist,service
patrick's,food
hacienda,ambiance
vaulted,ambiance
parrilla,food
nopales,food
jalapenos,food
fajita,food
melon,food
aguas,drinks
frescas,drinks
checks,service
gamey,food
rubbery,food
grills,food
marinade,food
staffed,service
kitchens,food
sala,ambiance
tandoori,food
dined,service
aloo,food
tikki,food
kahari,food
korma,food
vindaloo,food
spooned,service
basmati,food
fingerling,food
brunches,food
hires,service
sidewalk,ambiance
nicer,service
sophisticated,ambiance
tiki,drinks
acoustics,ambiance
aquarium,ambiance
pina,drinks
colada,drinks
scence,ambiance
drunky,drinks
scene,ambiance
homely,ambiance
barbies,food
agency,service
2.75,drinks
3.75,drinks
chai,drinks
walkers,service
liquid,drinks
frisk,service
planetarium,ambiance
nordy's,service
nordstrom,service
jared's,service
overlook,ambiance
marcellino's,food
processed,food
shawarma,food
zankou,service
sedona,ambiance
mochi,food
icecream,food
soi,service
papadums,food
chutneys,food
condiments,food
gobi,food
parantha,food
biriyani,food
chef's,food
specialities,food
arribas,food
drinkers,drinks
eels,food
guinness,drinks
recipes,food
pineapples,food
yelling,service
kiltlifter,drinks
overstaffed,service
injera,food
doughy,ambiance
fresher,food
spread,food
copa,drinks
spicey,food
cuisine,food
dulce,drinks
cracker,food
horseradish,food
barbeque,food
makhani,food
nourish,food
exceptionally,service
proteins,food
quinoa,food
avacodo,food
fryers,food
hotspot,ambiance
caters,service
quiznos,food
jager,drinks
fez,ambiance
wicker,ambiance
grease,food
az88,service
glitz,ambiance
accommodate,service
ketchup,food
excelent,service
papago,food
curbside,service
hesitating,ambiance
muffins,food
breakfasts,food
quiktrips,service
managing,service
coolest,ambiance
sunrise,ambiance
rangers,service
balcony,ambiance
mariachi,service
godfather,drinks
watched,service
assisting,service
sf,drinks
barkeep,service
flatbreads,food
tipped,service
barry,drinks
honoring,service
uniquely,ambiance
bouncers,service
drunk,drinks
carrabba's,service
bin,service
overflowing,ambiance
morsels,food
dipped,food
pancit,food
lumpia,food
custom,service
finalmente,food
andiamo,service
fritto,food
misto,food
broccolini,food
wedge,food
orecchiette,food
puttanesca,food
linguini,food
capers,food
breadcrumbs,food
anchovy,food
european,food
slowed,service
savored,ambiance
packs,drinks
breadsticks,food
pastabar,food
cavernous,ambiance
hallway,ambiance
prego,food
antipasti,food
mains,food
26,other
sparkling,other
waters,other
lemonades,other
awaits,other
pastas,food
quieter,ambiance
kohl's,service
brewers,drinks
cheesehead,food
culver's,service
custard,food
butterburger,food
extras,service
westin,service
cosmos,drinks
martini's,drinks
mambo,ambiance
ceviches,food
escabeche,food
mixto,food
clasico,food
empanada,food
clinic,service
mystique,ambiance
leeks,food
cutlet,food
panko,food
rices,food
barra,food
viejo,drinks
gangplank,ambiance
